Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison
Lyrm7	219.0607821	0.312153991	0.083497492	1.34e-06	0.000132999	NLGF3.vs.WT3
Nanp	31.60396373	-0.822793271	0.259443387	1.39e-06	0.000136642	NLGF3.vs.WT3
Ufc1	1071.756619	-0.209591793	0.047088367	1.39e-06	0.000136642	NLGF3.vs.WT3
Crls1	681.7246832	0.319158354	0.087984845	1.45e-06	0.000141394	NLGF3.vs.WT3
9930021J03Rik	2285.391688	0.273964398	0.066986501	1.48e-06	0.000143789	NLGF3.vs.WT3
Gtf2h5	1216.317922	-0.31201163	0.084206938	1.51e-06	0.000145406	NLGF3.vs.WT3
LOC105244657	23.84944037	-1.234595094	0.330646881	1.52e-06	0.000146097	NLGF3.vs.WT3
1810037I17Rik	851.9763573	-0.36775236	0.121098935	1.54e-06	0.000146824	NLGF3.vs.WT3
Syf2	751.7064597	-0.301014452	0.078901085	1.61e-06	0.000152881	NLGF3.vs.WT3
E030024N20Rik	72.85799869	-0.802301699	0.263501374	1.73e-06	0.000161884	NLGF3.vs.WT3
Haus8	129.4781226	-0.315665508	0.087268782	1.73e-06	0.000161884	NLGF3.vs.WT3
Mrps30	413.9726276	0.316937768	0.088020127	1.73e-06	0.000161884	NLGF3.vs.WT3
Rprd2	3039.118928	0.143865047	0.03117933	1.76e-06	0.000163333	NLGF3.vs.WT3
Mrpl23	301.5396392	-0.27831404	0.069480321	1.8e-06	0.000166091	NLGF3.vs.WT3
Cox4i1	9478.901981	-0.271480425	0.066971249	1.84e-06	0.000168334	NLGF3.vs.WT3
Fam122a	338.7276321	0.350001599	0.110514871	1.83e-06	0.000168334	NLGF3.vs.WT3
Ipp	351.6566626	-0.324194403	0.093153894	1.88e-06	0.000171496	NLGF3.vs.WT3
Vapa	2546.233848	0.323980259	0.093067266	1.9e-06	0.000171622	NLGF3.vs.WT3
Spata9	29.09158431	0.700598481	0.252527899	1.95e-06	0.000175509	NLGF3.vs.WT3
Usf3	3799.318874	0.253272033	0.060919714	1.99e-06	0.000178096	NLGF3.vs.WT3
Serf2	1038.815581	-0.266023154	0.065469409	2.07e-06	0.000184957	NLGF3.vs.WT3
Rps3	5192.096953	-0.306602827	0.083518244	2.1e-06	0.000186352	NLGF3.vs.WT3
LOC105244208	66.54777365	-0.565317211	0.224517822	2.17e-06	0.00019128	NLGF3.vs.WT3
Gm4737	14.02596491	-1.244785675	0.350688018	2.22e-06	0.000192097	NLGF3.vs.WT3
Pmvk	592.3520987	-0.354083062	0.115583913	2.21e-06	0.000192097	NLGF3.vs.WT3
Zfp384	633.0187678	0.215838064	0.049938069	2.21e-06	0.000192097	NLGF3.vs.WT3
Zfp800	663.0676742	0.435225259	0.169475587	2.19e-06	0.000192097	NLGF3.vs.WT3
Lmo4	2993.376303	0.281694541	0.071898263	2.24e-06	0.000192683	NLGF3.vs.WT3
Fis1	1998.085992	-0.243063596	0.058068717	2.25e-06	0.000192862	NLGF3.vs.WT3
Nanos1	685.0037932	0.287586282	0.074511059	2.26e-06	0.000192862	NLGF3.vs.WT3
LOC102640133	1291.13309	-0.892238438	0.284782767	2.29e-06	0.000194504	NLGF3.vs.WT3
Ube2ql1	4846.694133	0.277013264	0.070145904	2.32e-06	0.000195934	NLGF3.vs.WT3
Yy1	942.4628207	0.283312408	0.072984528	2.42e-06	0.00020335	NLGF3.vs.WT3
Ythdf1	1507.591692	0.14242669	0.031359748	2.52e-06	0.00021121	NLGF3.vs.WT3
Gpr27	566.6972869	0.423380663	0.164898873	2.54e-06	0.000211372	NLGF3.vs.WT3
Gas5	1014.115085	-0.370776834	0.129808958	2.58e-06	0.000214201	NLGF3.vs.WT3
Gm41108	7.310898647	-1.733397703	0.561863383	2.63e-06	0.000217064	NLGF3.vs.WT3
Rab7	5607.588638	0.162414427	0.03630013	2.67e-06	0.000219638	NLGF3.vs.WT3
2300009A05Rik	119.4456212	0.56811077	0.23019759	2.7e-06	0.000220644	NLGF3.vs.WT3
Ubqln1	5094.409744	0.214284094	0.050037965	2.71e-06	0.000220996	NLGF3.vs.WT3
Dnajb6	2261.941909	-0.248276164	0.060405787	2.73e-06	0.000221121	NLGF3.vs.WT3
Gm10705	17.03343936	-1.068384019	0.321271098	2.74e-06	0.000221194	NLGF3.vs.WT3
Apoo-ps	24.52868998	-0.992996693	0.30795819	2.77e-06	0.000222642	NLGF3.vs.WT3
Ruvbl1	681.1305278	-0.309060552	0.087108924	2.82e-06	0.000224811	NLGF3.vs.WT3
Usmg5	2075.056396	-0.353055109	0.117767774	2.81e-06	0.000224811	NLGF3.vs.WT3
Gmnn	38.6099604	-0.574491297	0.234067398	2.93e-06	0.000232188	NLGF3.vs.WT3
Anapc7	806.9789372	-0.194810228	0.044891866	2.99e-06	0.000235549	NLGF3.vs.WT3
Gm8942	9.686053614	-1.439583299	0.42996022	3e-06	0.000235549	NLGF3.vs.WT3
Gm41883	38.68735237	0.835620139	0.287487006	3.07e-06	0.000240277	NLGF3.vs.WT3
Rtn4rl2	1681.228186	0.381507666	0.140234677	3.11e-06	0.000241918	NLGF3.vs.WT3
Rpl15	2498.644042	-0.201766956	0.046932507	3.17e-06	0.000246091	NLGF3.vs.WT3
5830417I10Rik	852.9537745	-0.27479117	0.070871978	3.24e-06	0.000250396	NLGF3.vs.WT3
Lsm6	513.5512835	-0.280168576	0.073276891	3.31e-06	0.000254538	NLGF3.vs.WT3
Gtf2h3	291.8103065	-0.240669871	0.058732831	3.43e-06	0.000262737	NLGF3.vs.WT3
C230091D08Rik	1039.463706	0.57248713	0.237641698	3.5e-06	0.000263779	NLGF3.vs.WT3
Dnajb2	1994.391759	-0.30391943	0.085723555	3.5e-06	0.000263779	NLGF3.vs.WT3
Pou2f2	118.6313276	0.334191276	0.106284507	3.52e-06	0.000263779	NLGF3.vs.WT3
Romo1	656.2693496	-0.345498566	0.114835464	3.52e-06	0.000263779	NLGF3.vs.WT3
Slain2	775.5626066	0.274972515	0.071356394	3.52e-06	0.000263779	NLGF3.vs.WT3
BC002163	60.73756015	-1.036388758	0.327968036	3.6e-06	0.000266163	NLGF3.vs.WT3
Fdft1	2030.798177	-0.231994417	0.056133427	3.6e-06	0.000266163	NLGF3.vs.WT3
Psip1	1750.111116	0.295494828	0.081171098	3.58e-06	0.000266163	NLGF3.vs.WT3
Rpl27	1353.428302	-0.282219424	0.074730447	3.65e-06	0.000268694	NLGF3.vs.WT3
Gm15645	12.08101971	-1.458305444	0.454179263	3.69e-06	0.000270547	NLGF3.vs.WT3
Hist1h3f	202.9936159	0.443433112	0.183701686	3.8e-06	0.000273963	NLGF3.vs.WT3
Rnf111	1615.169334	0.144733544	0.032534754	3.79e-06	0.000273963	NLGF3.vs.WT3
Rnf121	588.1937311	-0.200126271	0.046914526	3.79e-06	0.000273963	NLGF3.vs.WT3
Timm8b	804.5335717	-0.243681395	0.060077785	3.79e-06	0.000273963	NLGF3.vs.WT3
Snord96a	8.255177778	-1.152074095	0.359378956	3.99e-06	0.000286994	NLGF3.vs.WT3
CYTB	87790.19472	0.764413668	0.286586257	4.11e-06	0.000293815	NLGF3.vs.WT3
Mbd5	2720.297819	0.204626296	0.048403542	4.13e-06	0.000294205	NLGF3.vs.WT3
6820431F20Rik	157.9667741	-0.410130649	0.164839139	4.16e-06	0.000295489	NLGF3.vs.WT3
Spop	5019.513965	-0.19620448	0.046069991	4.18e-06	0.000295489	NLGF3.vs.WT3
Plppr5	1433.370802	0.281662684	0.075278627	4.2e-06	0.000295577	NLGF3.vs.WT3
Mfap3l	1833.921875	0.261252339	0.066947114	4.42e-06	0.000309782	NLGF3.vs.WT3
3110040N11Rik	169.8829449	-0.31749532	0.096669158	4.46e-06	0.000310758	NLGF3.vs.WT3
Eif3j2	53.78854794	-0.97604232	0.32701137	4.46e-06	0.000310758	NLGF3.vs.WT3
Mpc1	210.0855879	0.286709644	0.078140156	4.5e-06	0.000311727	NLGF3.vs.WT3
Abhd17c	1033.704727	0.279282492	0.074620485	4.53e-06	0.000312891	NLGF3.vs.WT3
Dus2	245.5447528	-0.288756781	0.079285973	4.57e-06	0.000313107	NLGF3.vs.WT3
Reps1	1182.109009	0.225094695	0.054749739	4.56e-06	0.000313107	NLGF3.vs.WT3
Ank	5659.14464	0.181820996	0.042402851	4.66e-06	0.00031839	NLGF3.vs.WT3
Rpl41	6883.157452	-0.298712998	0.085301612	4.9e-06	0.000333403	NLGF3.vs.WT3
2500004C02Rik	99.15703916	0.412374895	0.169561855	4.98e-06	0.00033343	NLGF3.vs.WT3
C1ql1	199.9018489	0.309425282	0.092220814	4.99e-06	0.00033343	NLGF3.vs.WT3
Gm10051	35.32183339	-1.365501978	0.441923408	4.95e-06	0.00033343	NLGF3.vs.WT3
Klhl10	1839.981466	0.380296134	0.146815378	5e-06	0.00033343	NLGF3.vs.WT3
Zfand5	3774.895959	0.288999558	0.079943825	4.94e-06	0.00033343	NLGF3.vs.WT3
Hmgcr	3712.830769	-0.258079713	0.066428297	5.14e-06	0.000342	NLGF3.vs.WT3
Ndufa13	2264.627827	-0.26141659	0.067746281	5.18e-06	0.000342815	NLGF3.vs.WT3
Celf2	13401.05756	0.228369204	0.056360936	5.44e-06	0.000355803	NLGF3.vs.WT3
